Date,CPIAUCSL,LN Change
1999-12-01,168.800,
2000-01-01,169.300,0.002957707
2000-02-01,170.000,0.004126148
2000-03-01,171.000,0.005865119
2000-04-01,170.900,-0.000584966
2000-05-01,171.200,0.001753874
2000-06-01,172.200,0.005824128
2000-07-01,172.700,0.002899393
2000-08-01,172.700,0
2000-09-01,173.600,0.005197817
2000-10-01,173.900,0.001726619
2000-11-01,174.200,0.001723643
2000-12-01,174.600,0.002293579
2001-01-01,175.600,0.005711038
2001-02-01,176.000,0.002275314
2001-03-01,176.100,0.00056802
2001-04-01,176.400,0.001702128
2001-05-01,177.300,0.00508907
2001-06-01,177.700,0.002253522
2001-07-01,177.400,-0.001689665
2001-08-01,177.400,0
2001-09-01,178.100,0.00393812
2001-10-01,177.600,-0.00281136
2001-11-01,177.500,-0.000563222
2001-12-01,177.400,-0.000563539
2002-01-01,177.700,0.001689665
2002-02-01,178.000,0.001686815
2002-03-01,178.500,0.002805051
2002-04-01,179.300,0.004471779
2002-05-01,179.500,0.001114827
2002-06-01,179.600,0.000556948
2002-07-01,180.000,0.002224695
2002-08-01,180.500,0.002773927
2002-09-01,180.800,0.00166067
2002-10-01,181.200,0.002209946
2002-11-01,181.500,0.00165426
2002-12-01,181.800,0.001651528
2003-01-01,182.600,0.004390786
2003-02-01,183.600,0.00546151
2003-03-01,183.900,0.001632653
2003-04-01,183.200,-0.003813679
2003-05-01,182.900,-0.001638897
2003-06-01,183.100,0.001092896
2003-07-01,183.700,0.003271541
2003-08-01,184.500,0.004345471
2003-09-01,185.100,0.003246756
2003-10-01,184.900,-0.001081081
2003-11-01,185.000,0.000540687
2003-12-01,185.500,0.002699057
2004-01-01,186.300,0.004303396
2004-02-01,186.700,0.002144773
2004-03-01,187.100,0.002140183
2004-04-01,187.400,0.001602137
2004-05-01,188.200,0.004259857
2004-06-01,188.900,0.003712547
2004-07-01,189.100,0.001058201
2004-08-01,189.200,0.000528681
2004-09-01,189.800,0.00316623
2004-10-01,190.800,0.005254873
2004-11-01,191.700,0.004705891
2004-12-01,191.700,0
2005-01-01,191.600,-0.000521785
2005-02-01,192.400,0.004166673
2005-03-01,193.100,0.003631651
2005-04-01,193.700,0.003102381
2005-05-01,193.600,-0.000516396
2005-06-01,193.700,0.000516396
2005-07-01,194.900,0.006176036
2005-08-01,196.100,0.006138127
2005-09-01,198.800,0.013674561
2005-10-01,199.100,0.001507917
2005-11-01,198.100,-0.005035257
2005-12-01,198.100,0
2006-01-01,199.300,0.006039274
2006-02-01,199.400,0.00050163
2006-03-01,199.700,0.001503383
2006-04-01,200.700,0.004995015
2006-05-01,201.300,0.002985077
2006-06-01,201.800,0.002480775
2006-07-01,202.900,0.005436139
2006-08-01,203.800,0.004425874
2006-09-01,202.800,-0.004918849
2006-10-01,201.900,-0.004447746
2006-11-01,202.000,0.000495172
2006-12-01,203.100,0.005430771
