Date,GDP
1/1/94,1736467
4/1/94,1809582
7/1/94,1837424
10/1/94,1903763
1/1/95,1835147
4/1/95,1897424
7/1/95,1922827
10/1/95,1984353
1/1/96,1925313
4/1/96,2005112
7/1/96,2035152
10/1/96,2107553
1/1/97,2043518
4/1/97,2129626
7/1/97,2166497
10/1/97,2237911
1/1/98,2160749
4/1/98,2249930
7/1/98,2281444
10/1/98,2370698
1/1/99,2293218
4/1/99,2388561
7/1/99,2423833
10/1/99,2525048
1/1/00,2449139
4/1/00,2569476
7/1/00,2578060
10/1/00,2655679
1/1/01,2562436
4/1/01,2656364
7/1/01,2651331
10/1/01,2711685
1/1/02,2631502
4/1/02,2724224
7/1/02,2753434
10/1/02,2827263
1/1/03,2744149
4/1/03,2832509
7/1/03,2887132
10/1/03,2994460
1/1/04,2922104
4/1/04,3033260
7/1/04,3068978
10/1/04,3189392
1/1/05,3109156
4/1/05,3231134
7/1/05,3305748
10/1/05,3390598
1/1/06,3334041
4/1/06,3462006
7/1/06,3463172
10/1/06,3555390
1/1/07,3479565
4/1/07,3610965
7/1/07,3630580
10/1/07,3730752
1/1/08,3643352
4/1/08,3704567
7/1/08,3682872
10/1/08,3682056
1/1/09,3510967
4/1/09,3593534
7/1/09,3617046
10/1/09,3727386
1/1/10,3592249
4/1/10,3744069
7/1/10,3778575
10/1/10,3877159
1/1/11,3748311
4/1/11,3881126
7/1/11,3913784
10/1/11,3999363
1/1/12,3947585
4/1/12,4036139
7/1/12,4071213
10/1/12,4142070
1/1/13,4049584
4/1/13,4163863
7/1/13,4234415
10/1/13,4336990
1/1/14,4193475
4/1/14,4355448
7/1/14,4449960
10/1/14,4528375
1/1/15,4381185
4/1/15,4563206
7/1/15,4614948
10/1/15,4665441
1/1/16,4488764
4/1/16,4678299
7/1/16,4734573
10/1/16,4813405
1/1/17,4649728
4/1/17,4863682
7/1/17,4940866
10/1/17,5065149
1/1/18,4917129
4/1/18,5141726
7/1/18,5209973
10/1/18,5311394
1/1/19,5148400
4/1/19,5360917
7/1/19,5404652
10/1/19,5517583
