Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,5.750000,5.791667,5.666667,5.666667,1.282241,7822800
1994-01-04,5.687500,5.687500,5.593750,5.687500,1.286956,6998400
1994-01-05,5.718750,5.791667,5.708333,5.729167,1.296384,11857200
1994-01-06,5.750000,5.781250,5.677083,5.687500,1.286956,8986800
1994-01-07,5.677083,5.708333,5.625000,5.687500,1.286956,8563200
1994-01-10,5.708333,5.812500,5.656250,5.791667,1.310526,6969600
1994-01-11,5.802083,5.822917,5.708333,5.750000,1.301097,7464000
1994-01-12,5.750000,5.770833,5.666667,5.718750,1.294027,4374000
1994-01-13,5.708333,5.729167,5.666667,5.687500,1.286956,3435600
1994-01-14,5.687500,5.718750,5.635417,5.635417,1.275170,6610800
1994-01-17,5.645833,5.677083,5.625000,5.625000,1.272812,5137200
1994-01-18,5.656250,5.729167,5.645833,5.656250,1.279884,5769600
1994-01-19,5.333333,5.343750,5.156250,5.239583,1.185602,69363600
1994-01-20,5.229167,5.302083,5.187500,5.218750,1.180888,35610000
1994-01-21,5.208333,5.281250,5.197917,5.270833,1.192673,20712000
1994-01-24,5.260417,5.270833,5.125000,5.125000,1.159674,18255600
1994-01-25,5.083333,5.218750,5.062500,5.166667,1.169103,13548000
1994-01-26,5.104167,5.239583,5.093750,5.229167,1.183245,11594400
1994-01-27,5.218750,5.260417,5.208333,5.239583,1.185602,8872800
1994-01-28,5.270833,5.333333,5.208333,5.322917,1.204458,11766000
1994-01-31,5.333333,5.395833,5.333333,5.385417,1.218600,11403600
1994-02-01,5.395833,5.406250,5.302083,5.322917,1.204458,12348000
1994-02-02,5.322917,5.364583,5.322917,5.343750,1.209172,7020000
1994-02-03,5.291667,5.333333,5.208333,5.333333,1.206815,11324400
1994-02-04,5.312500,5.333333,5.166667,5.166667,1.169103,6393600
1994-02-07,5.125000,5.187500,5.083333,5.135417,1.278099,12988800
1994-02-08,5.125000,5.145833,4.812500,4.947917,1.231434,50605200
1994-02-09,4.947917,4.989583,4.937500,4.968750,1.236619,22212000
1994-02-10,4.989583,5.041667,4.947917,4.958333,1.234026,29461200
1994-02-11,4.947917,4.968750,4.895833,4.947917,1.231434,9657600
1994-02-14,4.916667,4.937500,4.843750,4.854167,1.208102,16844400
1994-02-15,4.864583,4.895833,4.822917,4.822917,1.200324,11764800
1994-02-16,4.833333,4.854167,4.770833,4.781250,1.189954,24296400
1994-02-17,4.791667,4.791667,4.687500,4.750000,1.182177,16450800
1994-02-18,4.750000,4.791667,4.718750,4.781250,1.189954,11814000
1994-02-22,4.812500,4.843750,4.770833,4.812500,1.197732,10192800
1994-02-23,4.843750,4.875000,4.812500,4.812500,1.197732,11451600
1994-02-24,4.791667,4.791667,4.708333,4.718750,1.174399,11928000
1994-02-25,4.750000,4.843750,4.718750,4.781250,1.189954,9068400
1994-02-28,4.812500,4.854167,4.802083,4.833333,1.202917,8398800
1994-03-01,4.833333,4.854167,4.739583,4.760417,1.184769,15894000
1994-03-02,4.729167,4.781250,4.697917,4.750000,1.182177,8584800
1994-03-03,4.729167,4.760417,4.645833,4.656250,1.158844,10378800
1994-03-04,4.677083,4.697917,4.593750,4.666667,1.161437,12927600
1994-03-07,4.739583,4.760417,4.697917,4.739583,1.179584,8949600
1994-03-08,4.739583,4.812500,4.708333,4.770833,1.187362,10940400
1994-03-09,4.750000,4.833333,4.687500,4.791667,1.192546,12560400
1994-03-10,4.781250,4.822917,4.729167,4.729167,1.176992,8685600
1994-03-11,4.739583,4.822917,4.729167,4.812500,1.197732,6472800
1994-03-14,4.822917,4.822917,4.718750,4.729167,1.176992,9027600
1994-03-15,4.760417,4.760417,4.635417,4.687500,1.166622,7716000
1994-03-16,4.687500,4.718750,4.604167,4.708333,1.171807,9854400
1994-03-17,4.708333,4.812500,4.708333,4.802083,1.195139,9056400
1994-03-18,4.791667,4.822917,4.750000,4.750000,1.182177,15556800
1994-03-21,4.770833,4.875000,4.770833,4.833333,1.202917,10772400
1994-03-22,4.729167,4.791667,4.718750,4.750000,1.182177,11373600
1994-03-23,4.750000,4.760417,4.614583,4.625000,1.151067,17558400
1994-03-24,4.687500,4.687500,4.604167,4.645833,1.156252,16791600
1994-03-25,4.656250,4.697917,4.645833,4.666667,1.161437,8884800
1994-03-28,4.666667,4.697917,4.583333,4.604167,1.145882,8763600
1994-03-29,4.604167,4.625000,4.583333,4.604167,1.145882,7771200
1994-03-30,4.604167,4.635417,4.479167,4.500000,1.119957,14934000
1994-03-31,4.500000,4.541667,4.427083,4.500000,1.119957,15381600
1994-04-04,4.437500,4.541667,4.437500,4.468750,1.112180,11810400
1994-04-05,4.531250,4.583333,4.500000,4.541667,1.130327,10638000
1994-04-06,4.520833,4.572917,4.520833,4.531250,1.127735,8590800
1994-04-07,4.531250,4.635417,4.510417,4.614583,1.148474,6262800
1994-04-08,4.583333,4.635417,4.520833,4.541667,1.130327,10030800
1994-04-11,4.541667,4.583333,4.531250,4.541667,1.130327,6668400
1994-04-12,4.552083,4.552083,4.468750,4.479167,1.114772,6151200
1994-04-13,4.489583,4.541667,4.458333,4.489583,1.117365,10168800
1994-04-14,4.489583,4.583333,4.489583,4.562500,1.135511,6949200
1994-04-15,4.572917,4.583333,4.500000,4.500000,1.119957,8134800
1994-04-18,4.500000,4.552083,4.458333,4.479167,1.114772,6835200
1994-04-19,4.468750,4.656250,4.468750,4.645833,1.156252,11248800
1994-04-20,4.729167,4.822917,4.687500,4.812500,1.197732,17581200
1994-04-21,4.875000,4.968750,4.822917,4.958333,1.234026,15144000
1994-04-22,4.989583,4.989583,4.875000,4.906250,1.221064,7182000
1994-04-25,4.906250,4.927083,4.864583,4.895833,1.218472,8046000
1994-04-26,4.875000,4.875000,4.802083,4.833333,1.202917,6261600
1994-04-28,4.833333,4.875000,4.770833,4.843750,1.205509,10329600
1994-04-29,4.833333,4.937500,4.812500,4.916667,1.223657,9877200
1994-05-02,4.916667,5.104167,4.916667,5.093750,1.267729,16228800
1994-05-03,5.114583,5.208333,5.052083,5.083333,1.265137,16549200
1994-05-04,5.114583,5.114583,4.958333,4.989583,1.241804,7788000
1994-05-05,5.000000,5.052083,5.000000,5.020833,1.249582,6121200
1994-05-06,5.020833,5.020833,4.958333,4.958333,1.234026,6618000
1994-05-09,4.937500,5.010417,4.937500,4.958333,1.363006,6292800
1994-05-10,5.020833,5.062500,5.010417,5.020833,1.380187,6884400
1994-05-11,5.020833,5.072917,5.020833,5.062500,1.391641,5928000
1994-05-12,5.093750,5.135417,5.083333,5.114583,1.405959,6603600
1994-05-13,5.114583,5.125000,5.052083,5.072917,1.394504,6200400
1994-05-16,5.093750,5.166667,5.093750,5.156250,1.417412,8917200
1994-05-17,5.145833,5.302083,5.145833,5.281250,1.451773,14372400
1994-05-18,5.239583,5.270833,5.208333,5.239583,1.440319,10958400
1994-05-19,5.239583,5.291667,5.208333,5.291667,1.454637,10160400
1994-05-20,5.250000,5.291667,5.229167,5.270833,1.448909,10741200
1994-05-23,5.250000,5.270833,5.239583,5.270833,1.448909,5845200
1994-05-24,5.270833,5.343750,5.260417,5.302083,1.457500,13744800
1994-05-25,5.302083,5.333333,5.270833,5.322917,1.463227,9736800
1994-05-26,5.343750,5.375000,5.291667,5.375000,1.477543,7627200
1994-05-27,5.343750,5.354167,5.270833,5.322917,1.463227,6156000
1994-05-31,5.260417,5.333333,5.260417,5.312500,1.460364,4736400
1994-06-01,5.281250,5.302083,5.239583,5.270833,1.448909,6553200
1994-06-02,5.270833,5.312500,5.239583,5.291667,1.454637,5377200
1994-06-03,5.270833,5.343750,5.270833,5.343750,1.468954,4742400
1994-06-06,5.364583,5.395833,5.250000,5.250000,1.443183,6280800
1994-06-07,5.239583,5.250000,5.197917,5.239583,1.440319,5547600
1994-06-08,5.260417,5.281250,5.177083,5.187500,1.426002,4852800
1994-06-09,5.218750,5.302083,5.208333,5.281250,1.451773,8408400
1994-06-10,5.302083,5.302083,5.229167,5.250000,1.443183,6357600
1994-06-13,5.250000,5.312500,5.250000,5.281250,1.451773,3678000
1994-06-14,5.312500,5.343750,5.302083,5.343750,1.468954,5976000
1994-06-15,5.364583,5.364583,5.312500,5.343750,1.468954,4933200
