Date,High,Low,Open,Close,Volume,Adj Close,Name
1998-02-27,18.0,17.375,17.375,17.375,50000.0,14.896712303161621,AMT
1998-03-02,17.25,17.0,17.25,17.25,75000.0,14.789539337158203,AMT
1998-03-03,17.125,16.75,17.125,17.125,35000.0,14.682369232177734,AMT
1998-03-04,15.75,15.5,15.75,15.75,60000.0,13.50349235534668,AMT
1998-03-05,16.125,16.125,16.125,16.125,400.0,13.82500171661377,AMT
1998-03-06,16.375,16.125,16.125,16.125,3600.0,13.82500171661377,AMT
1998-03-09,16.5,15.875,16.125,15.875,3200.0,13.610662460327148,AMT
1998-03-10,16.875,15.875,15.875,16.25,56800.0,13.932173728942871,AMT
1998-03-11,16.5,16.125,16.25,16.25,10400.0,13.932173728942871,AMT
1998-03-12,16.375,16.125,16.25,16.375,3800.0,14.039344787597656,AMT
1998-03-13,16.5,16.5,16.5,16.5,1000.0,14.14651870727539,AMT
1998-03-16,16.5,16.125,16.5,16.125,7700.0,13.82500171661377,AMT
1998-03-17,16.125,15.75,16.125,15.875,28000.0,13.610662460327148,AMT
1998-03-18,16.125,15.75,15.875,16.125,45700.0,13.82500171661377,AMT
1998-03-19,17.375,16.0,16.125,17.125,383600.0,14.682369232177734,AMT
1998-03-20,17.75,17.25,17.25,17.75,275600.0,15.218221664428711,AMT
1998-03-23,19.0,17.375,17.75,18.875,398600.0,16.182758331298828,AMT
1998-03-24,19.875,18.875,18.875,19.75,261800.0,16.932952880859375,AMT
1998-03-25,20.125,19.5,19.75,19.875,135600.0,17.040122985839844,AMT
1998-03-26,19.875,19.25,19.875,19.625,26300.0,16.82577896118164,AMT
1998-03-27,19.75,18.375,19.625,19.25,62200.0,16.504270553588867,AMT
1998-03-30,19.875,19.25,19.25,19.875,49500.0,17.040122985839844,AMT
1998-03-31,20.25,19.875,19.875,20.125,79000.0,17.254467010498047,AMT
1998-04-01,20.625,20.0,20.125,20.5,150100.0,17.57597541809082,AMT
1998-04-02,23.375,21.75,21.75,23.25,140500.0,19.933731079101562,AMT
1998-04-03,26.125,21.75,23.25,24.75,458700.0,21.219778060913086,AMT
1998-04-06,26.0,23.0,24.75,24.0,105300.0,20.576751708984375,AMT
1998-04-07,24.0,22.125,24.0,22.125,152800.0,18.969202041625977,AMT
1998-04-08,23.0,21.0,22.125,22.5,45100.0,19.29070472717285,AMT
1998-04-09,23.0,22.25,22.5,23.0,151400.0,19.719383239746094,AMT
1998-04-13,23.25,22.375,23.0,22.625,85900.0,19.39787483215332,AMT
1998-04-14,23.0,22.5,22.625,22.75,322900.0,19.505046844482422,AMT
1998-04-15,22.875,21.5,22.75,21.75,23100.0,18.647680282592773,AMT
1998-04-16,21.75,20.875,21.75,21.25,55400.0,18.218996047973633,AMT
1998-04-17,21.625,21.0,21.25,21.625,15100.0,18.54051399230957,AMT
1998-04-20,22.125,21.25,21.625,22.125,92900.0,18.969202041625977,AMT
1998-04-21,22.125,21.75,22.125,22.125,23100.0,18.969202041625977,AMT
1998-04-22,23.625,22.125,22.125,23.0,60900.0,19.719383239746094,AMT
1998-04-23,23.5,23.0,23.0,23.5,242300.0,20.1480655670166,AMT
1998-04-24,23.625,22.0,23.5,22.0,100900.0,18.86202049255371,AMT
1998-04-27,22.5,19.875,22.0,20.875,52200.0,17.897489547729492,AMT
1998-04-28,21.875,20.75,20.875,21.5,29100.0,18.433338165283203,AMT
1998-04-29,22.5,21.0,21.5,22.5,101300.0,19.29070472717285,AMT
1998-04-30,23.25,22.375,22.5,23.0,116300.0,19.719383239746094,AMT
1998-05-01,23.125,22.0,23.0,22.125,61000.0,18.969202041625977,AMT
1998-05-04,22.25,21.25,22.125,21.625,58400.0,18.54051399230957,AMT
1998-05-05,21.75,20.75,21.625,21.25,44000.0,18.218996047973633,AMT
1998-05-06,22.0,20.875,21.25,22.0,47300.0,18.86202049255371,AMT
1998-05-07,22.125,21.375,22.0,21.375,230900.0,18.326168060302734,AMT
