Date,High,Low,Open,Close,Volume,Adj Close,Name
1994-01-03,30.125,29.5,30.0,29.875,344500.0,7.364678382873535,DTE
1994-01-04,29.875,29.5,29.875,29.625,221200.0,7.3030500411987305,DTE
1994-01-05,29.625,29.125,29.625,29.25,373700.0,7.210603713989258,DTE
1994-01-06,29.25,28.5,29.25,28.875,341700.0,7.118165493011475,DTE
1994-01-07,29.25,28.375,29.0,28.875,552200.0,7.118165493011475,DTE
1994-01-10,29.375,28.875,28.875,29.25,420400.0,7.210603713989258,DTE
1994-01-11,29.375,28.75,29.25,29.0,429900.0,7.148976802825928,DTE
1994-01-12,29.375,28.5,29.0,29.25,239100.0,7.210603713989258,DTE
1994-01-13,29.375,28.75,29.375,28.875,286300.0,7.118165493011475,DTE
1994-01-14,29.125,28.625,29.0,29.125,267300.0,7.179792404174805,DTE
1994-01-17,29.375,28.875,29.125,29.375,249600.0,7.241415977478027,DTE
1994-01-18,29.625,29.25,29.375,29.5,203300.0,7.272237300872803,DTE
1994-01-19,29.5,29.0,29.5,29.125,291900.0,7.179792404174805,DTE
1994-01-20,29.25,29.125,29.25,29.125,287600.0,7.179792404174805,DTE
1994-01-21,29.25,28.0,29.25,28.625,629800.0,7.056530952453613,DTE
1994-01-24,28.875,28.375,28.5,28.625,623800.0,7.056530952453613,DTE
1994-01-25,28.875,28.25,28.5,28.625,733400.0,7.056530952453613,DTE
1994-01-26,29.375,28.875,29.0,29.25,546300.0,7.210603713989258,DTE
1994-01-27,29.875,29.125,29.25,29.875,1099700.0,7.364678382873535,DTE
1994-01-28,30.25,29.75,30.125,29.75,746800.0,7.333863258361816,DTE
1994-01-31,30.0,29.625,29.75,29.625,272300.0,7.3030500411987305,DTE
1994-02-01,29.75,29.125,29.75,29.25,355800.0,7.210603713989258,DTE
1994-02-02,29.625,28.875,29.0,29.375,740400.0,7.241415977478027,DTE
1994-02-03,29.375,29.125,29.25,29.25,200700.0,7.210603713989258,DTE
1994-02-04,29.25,28.875,29.125,28.875,278500.0,7.118165493011475,DTE
1994-02-07,28.875,28.625,28.75,28.75,436000.0,7.087347030639648,DTE
1994-02-08,28.75,28.375,28.75,28.5,297100.0,7.025718688964844,DTE
1994-02-09,28.875,28.5,28.625,28.875,189300.0,7.118165493011475,DTE
1994-02-10,28.875,28.5,28.75,28.5,612400.0,7.025718688964844,DTE
