Date,High,Low,Open,Close,Volume,Adj Close,Name
1994-01-03,5.15625,5.1015625,5.1328125,5.15625,2139200.0,3.0874757766723633,MDT
1994-01-04,5.2109375,5.1484375,5.1640625,5.171875,742400.0,3.0968313217163086,MDT
1994-01-05,5.1875,5.1171875,5.1796875,5.1640625,1739200.0,3.092151641845703,MDT
1994-01-06,5.203125,5.140625,5.1640625,5.171875,2662400.0,3.0968313217163086,MDT
1994-01-07,5.2578125,5.140625,5.171875,5.171875,2105600.0,3.0968313217163086,MDT
1994-01-10,5.15625,5.1015625,5.140625,5.1328125,3464000.0,3.0734407901763916,MDT
1994-01-11,5.109375,5.0625,5.078125,5.0859375,4470400.0,3.0453741550445557,MDT
1994-01-12,5.15625,5.078125,5.09375,5.1328125,3968000.0,3.0734407901763916,MDT
1994-01-13,5.1484375,5.109375,5.1328125,5.125,3054400.0,3.0687637329101562,MDT
1994-01-14,5.234375,5.1328125,5.1328125,5.15625,6475200.0,3.0874757766723633,MDT
1994-01-17,5.140625,5.1015625,5.140625,5.1171875,2572800.0,3.0640852451324463,MDT
1994-01-18,5.1796875,5.109375,5.125,5.125,2139200.0,3.0687637329101562,MDT
1994-01-19,5.1484375,5.03125,5.1484375,5.0390625,4409600.0,3.017303705215454,MDT
1994-01-20,5.046875,4.9765625,5.0390625,5.0,4870400.0,2.9939141273498535,MDT
1994-01-21,5.078125,5.0078125,5.03125,5.0390625,4345600.0,3.017303705215454,MDT
1994-01-24,5.0546875,5.0,5.0234375,5.0,4825600.0,2.9939141273498535,MDT
1994-01-25,5.109375,4.953125,4.953125,5.1015625,2977600.0,3.05472993850708,MDT
1994-01-26,5.109375,5.0703125,5.09375,5.1015625,1305600.0,3.05472993850708,MDT
1994-01-27,5.203125,5.0390625,5.0859375,5.1796875,2486400.0,3.1015093326568604,MDT
1994-01-28,5.265625,5.203125,5.21875,5.203125,3206400.0,3.115544557571411,MDT
1994-01-31,5.28125,5.203125,5.21875,5.25,2441600.0,3.1436104774475098,MDT
1994-02-01,5.296875,5.2265625,5.2578125,5.234375,4105600.0,3.1342549324035645,MDT
1994-02-02,5.46875,5.2421875,5.2421875,5.46875,4089600.0,3.274594306945801,MDT
1994-02-03,5.453125,5.328125,5.453125,5.3515625,3872000.0,3.2044243812561035,MDT
1994-02-04,5.3984375,5.3515625,5.359375,5.359375,2496000.0,3.2091026306152344,MDT
1994-02-07,5.3671875,5.28125,5.359375,5.2890625,4608000.0,3.1670010089874268,MDT
1994-02-08,5.3984375,5.28125,5.3125,5.359375,3027200.0,3.2091026306152344,MDT
1994-02-09,5.40625,5.34375,5.359375,5.3671875,1766400.0,3.2137808799743652,MDT
1994-02-10,5.390625,5.328125,5.3828125,5.328125,1776000.0,3.1903913021087646,MDT
1994-02-11,5.3828125,5.296875,5.3125,5.328125,870400.0,3.1903913021087646,MDT
1994-02-14,5.421875,5.328125,5.3671875,5.328125,1907200.0,3.1903913021087646,MDT
1994-02-15,5.328125,5.265625,5.3203125,5.3046875,1960000.0,3.176356315612793,MDT
1994-02-16,5.3359375,5.2734375,5.3125,5.328125,2716800.0,3.1903913021087646,MDT
1994-02-17,5.328125,5.0546875,5.3125,5.1328125,3507200.0,3.0734407901763916,MDT
