Date,High,Low,Open,Close,Volume,Adj Close,Name
1994-01-03,14.25,13.25,14.25,13.375,63600.0,3.0233068466186523,UDR
1994-01-04,13.5,13.125,13.375,13.375,64300.0,3.0233068466186523,UDR
1994-01-05,14.0,13.5,13.5,13.625,64800.0,3.0798192024230957,UDR
1994-01-06,13.75,12.875,13.625,13.125,143200.0,2.9667978286743164,UDR
1994-01-07,13.625,13.125,13.125,13.375,82600.0,3.0233068466186523,UDR
1994-01-10,13.25,12.75,13.125,13.0,47100.0,2.9775002002716064,UDR
1994-01-11,13.25,13.0,13.0,13.125,63000.0,3.0061299800872803,UDR
1994-01-12,13.5,13.25,13.25,13.5,42900.0,3.0920186042785645,UDR
1994-01-13,13.5,13.125,13.375,13.375,41300.0,3.0633883476257324,UDR
1994-01-14,13.5,13.25,13.25,13.5,54600.0,3.0920186042785645,UDR
1994-01-17,13.625,13.375,13.5,13.625,78800.0,3.120650053024292,UDR
1994-01-18,13.75,13.625,13.625,13.75,39000.0,3.1492791175842285,UDR
1994-01-19,13.75,13.5,13.75,13.625,52600.0,3.120650053024292,UDR
1994-01-20,13.625,13.25,13.625,13.625,25900.0,3.120650053024292,UDR
1994-01-21,14.0,13.625,13.625,13.875,59800.0,3.1779069900512695,UDR
1994-01-24,14.0,13.75,13.875,13.75,40900.0,3.1492791175842285,UDR
1994-01-25,14.0,13.625,13.875,13.75,35500.0,3.1492791175842285,UDR
1994-01-26,13.875,13.75,13.875,13.875,33700.0,3.1779069900512695,UDR
1994-01-27,14.0,13.75,13.875,14.0,45300.0,3.206538677215576,UDR
1994-01-28,14.25,14.0,14.0,14.25,63500.0,3.263798236846924,UDR
1994-01-31,14.375,14.125,14.25,14.375,68000.0,3.2924280166625977,UDR
1994-02-01,14.5,14.0,14.5,14.125,36600.0,3.2351675033569336,UDR
1994-02-02,14.125,13.75,14.125,13.875,111100.0,3.1779069900512695,UDR
1994-02-03,14.0,13.875,13.875,14.0,116400.0,3.206538677215576,UDR
1994-02-04,14.125,13.875,14.125,13.875,71400.0,3.1779069900512695,UDR
1994-02-07,13.875,13.625,13.875,13.625,23600.0,3.120650053024292,UDR
1994-02-08,14.0,13.625,13.625,14.0,52800.0,3.206538677215576,UDR
1994-02-09,14.0,13.5,14.0,13.625,199000.0,3.120650053024292,UDR
1994-02-10,13.75,13.5,13.75,13.5,60100.0,3.0920186042785645,UDR
