Date,High,Low,Open,Close,Volume,Adj Close,Name
1994-01-03,66.375,65.0,66.25,65.5,207100.0,33.220584869384766,WHR
1994-01-04,65.5,64.625,64.75,65.25,107500.0,33.09376907348633,WHR
1994-01-05,65.25,64.625,65.0,65.0,199600.0,32.96699142456055,WHR
1994-01-06,65.125,64.5,65.0,64.5,171300.0,32.71338653564453,WHR
1994-01-07,65.5,64.5,64.625,65.25,144300.0,33.09376907348633,WHR
1994-01-10,66.0,65.125,66.0,65.375,172500.0,33.15717315673828,WHR
1994-01-11,65.625,65.125,65.375,65.25,202800.0,33.09376907348633,WHR
1994-01-12,67.25,65.25,65.375,67.0,295600.0,33.98134994506836,WHR
1994-01-13,67.0,66.125,67.0,66.75,178000.0,33.85454559326172,WHR
1994-01-14,67.5,66.625,66.75,67.25,158900.0,34.108131408691406,WHR
1994-01-17,67.0,66.125,67.0,66.25,59200.0,33.60097885131836,WHR
1994-01-18,67.0,65.875,66.875,66.0,188700.0,33.47416687011719,WHR
1994-01-19,66.5,65.625,66.5,65.875,214200.0,33.4107551574707,WHR
1994-01-20,66.0,65.625,65.875,65.875,210900.0,33.4107551574707,WHR
1994-01-21,66.375,65.625,66.0,65.625,181400.0,33.28396224975586,WHR
1994-01-24,66.125,65.625,65.625,65.75,123700.0,33.34737777709961,WHR
1994-01-25,65.375,64.875,65.25,64.875,160000.0,32.90357971191406,WHR
1994-01-26,66.0,65.0,65.0,65.75,124500.0,33.34737777709961,WHR
1994-01-27,68.0,66.0,66.125,67.75,272300.0,34.36174392700195,WHR
1994-01-28,68.5,66.875,68.5,67.0,411800.0,33.98134994506836,WHR
1994-01-31,68.625,67.0,67.125,67.75,238300.0,34.36174392700195,WHR
1994-02-01,70.0,67.75,67.75,69.375,315700.0,35.1859130859375,WHR
1994-02-02,71.125,69.125,69.5,71.125,389700.0,36.07347869873047,WHR
1994-02-03,73.5,71.125,71.25,72.375,1024500.0,36.707462310791016,WHR
1994-02-04,71.75,68.0,71.375,70.0,604600.0,35.50292205810547,WHR
1994-02-07,69.625,68.5,69.25,68.625,286000.0,34.805519104003906,WHR
1994-02-08,69.625,68.5,69.5,68.875,291100.0,34.93232345581055,WHR
1994-02-09,68.875,68.125,68.875,68.375,359800.0,34.67872619628906,WHR
1994-02-10,68.5,67.25,68.5,67.625,288300.0,34.298336029052734,WHR
1994-02-11,68.125,67.375,67.75,68.0,110700.0,34.488529205322266,WHR
1994-02-14,70.5,67.875,68.0,70.5,168400.0,35.75649642944336,WHR
1994-02-15,70.375,70.0,70.25,70.125,225800.0,35.56631088256836,WHR
1994-02-16,70.375,69.5,70.375,70.125,125600.0,35.56631088256836,WHR
1994-02-17,70.25,69.375,70.0,69.5,185500.0,35.24931716918945,WHR
1994-02-18,69.5,68.0,69.25,68.625,230700.0,34.805519104003906,WHR
1994-02-22,68.625,67.5,68.5,67.75,209900.0,34.36174392700195,WHR
1994-02-23,69.0,67.375,67.375,68.5,207400.0,34.89924621582031,WHR
1994-02-24,68.875,67.375,68.625,67.5,311100.0,34.38975524902344,WHR
1994-02-25,68.5,67.625,68.0,67.875,157600.0,34.58080291748047,WHR
1994-02-28,68.125,67.625,67.625,67.75,145000.0,34.51713562011719,WHR
1994-03-01,67.75,67.0,67.75,67.5,180000.0,34.38975524902344,WHR
1994-03-02,67.25,66.75,67.0,67.0,187500.0,34.135013580322266,WHR
1994-03-03,68.375,67.0,67.0,68.125,163500.0,34.708187103271484,WHR
1994-03-04,69.25,67.75,68.125,69.0,267500.0,35.15398025512695,WHR
1994-03-07,69.75,68.25,69.25,69.5,159300.0,35.40872573852539,WHR
1994-03-08,70.0,69.0,70.0,69.125,146000.0,35.2176628112793,WHR
1994-03-09,69.125,68.75,68.875,68.875,132800.0,35.09029769897461,WHR
1994-03-10,68.875,68.0,68.875,68.5,193000.0,34.89924621582031,WHR
1994-03-11,68.875,67.5,68.875,67.875,245200.0,34.58080291748047,WHR
1994-03-14,68.0,67.75,68.0,68.0,193800.0,34.64448928833008,WHR
1994-03-15,68.125,67.875,68.0,68.0,119100.0,34.64448928833008,WHR
1994-03-16,68.0,67.25,68.0,67.5,179500.0,34.38975524902344,WHR
1994-03-17,69.0,67.5,67.5,69.0,238500.0,35.15398025512695,WHR
1994-03-18,69.0,67.75,69.0,68.0,216000.0,34.64448928833008,WHR
1994-03-21,68.25,67.625,67.75,68.25,128600.0,34.771881103515625,WHR
1994-03-22,69.25,67.75,68.125,68.125,147300.0,34.708187103271484,WHR
1994-03-23,68.25,67.25,68.25,67.25,182400.0,34.26237106323242,WHR
1994-03-24,67.25,65.875,67.125,66.5,159800.0,33.880287170410156,WHR
1994-03-25,66.625,64.625,66.5,64.75,83900.0,32.988685607910156,WHR
1994-03-28,65.75,65.0,65.0,65.5,94000.0,33.37080001831055,WHR
1994-03-29,65.25,62.0,65.125,62.0,155800.0,31.587635040283203,WHR
1994-03-30,62.625,61.125,62.25,62.25,236000.0,31.71500015258789,WHR
1994-03-31,62.75,59.375,62.125,60.875,343300.0,31.01447296142578,WHR
1994-04-04,59.875,58.0,59.75,59.5,459300.0,30.313941955566406,WHR
1994-04-05,62.0,60.0,61.0,60.375,382800.0,30.759735107421875,WHR
1994-04-06,60.5,59.625,60.5,59.875,373100.0,30.504980087280273,WHR
1994-04-07,61.75,59.625,60.25,61.625,143400.0,31.396575927734375,WHR
1994-04-08,61.5,60.375,61.5,60.625,180700.0,30.88710594177246,WHR
1994-04-11,60.75,59.875,60.625,60.375,332100.0,30.759735107421875,WHR
1994-04-12,61.125,60.25,60.875,60.25,112200.0,30.696044921875,WHR
1994-04-13,60.5,59.25,60.0,60.0,141000.0,30.56867790222168,WHR
1994-04-14,59.875,59.0,59.5,59.125,202600.0,30.12289047241211,WHR
1994-04-15,59.125,57.75,59.0,58.25,204500.0,29.677082061767578,WHR
1994-04-18,58.25,56.75,58.125,57.5,512800.0,29.294963836669922,WHR
1994-04-19,57.25,54.5,57.25,55.0,1196600.0,28.021282196044922,WHR
1994-04-20,55.0,52.5,55.0,53.5,1118600.0,27.257076263427734,WHR
1994-04-21,54.5,53.5,53.75,53.75,438700.0,27.384445190429688,WHR
1994-04-22,54.875,54.0,54.0,54.25,678800.0,27.639163970947266,WHR
1994-04-25,55.75,53.5,54.375,55.75,238600.0,28.403396606445312,WHR
1994-04-26,56.875,55.375,56.25,56.25,210100.0,28.65814208984375,WHR
1994-04-28,57.25,56.375,56.5,56.625,152300.0,28.849172592163086,WHR
1994-04-29,58.5,56.875,57.75,58.5,413300.0,29.80446434020996,WHR
1994-05-02,58.75,57.75,58.25,57.75,200900.0,29.422365188598633,WHR
1994-05-03,58.25,57.25,58.25,57.25,147400.0,29.167604446411133,WHR
1994-05-04,57.625,56.5,57.125,57.625,145100.0,29.35866928100586,WHR
1994-05-05,57.75,56.625,57.75,57.0,97300.0,29.040237426757812,WHR
1994-05-06,56.875,55.75,56.75,56.25,214600.0,28.65814208984375,WHR
1994-05-09,56.125,54.75,56.125,54.875,48900.0,27.957599639892578,WHR
1994-05-10,55.125,54.375,55.0,54.5,155400.0,27.766559600830078,WHR
1994-05-11,54.75,53.5,54.5,53.625,165300.0,27.32075309753418,WHR
1994-05-12,55.125,53.75,53.75,54.75,297200.0,27.893922805786133,WHR
1994-05-13,55.375,54.875,55.0,54.875,294400.0,28.114225387573242,WHR
1994-05-16,55.375,54.75,55.375,55.0,138700.0,28.17825698852539,WHR
1994-05-17,57.5,55.0,55.0,57.5,220600.0,29.45908546447754,WHR
1994-05-18,57.5,56.0,57.5,56.5,101400.0,28.946762084960938,WHR
1994-05-19,56.5,55.75,56.5,56.375,210100.0,28.882715225219727,WHR
1994-05-20,56.625,55.0,56.625,55.125,103400.0,28.24229621887207,WHR
1994-05-23,55.0,53.875,55.0,54.25,274000.0,27.794008255004883,WHR
1994-05-24,55.875,54.75,55.5,54.875,379800.0,28.114225387573242,WHR
1994-05-25,55.0,53.875,55.0,54.0,251000.0,27.665916442871094,WHR
1994-05-26,54.375,53.75,54.0,54.25,175200.0,27.794008255004883,WHR
1994-05-27,54.25,53.25,54.0,53.25,174500.0,27.28167152404785,WHR
1994-05-31,53.875,53.375,53.75,53.625,304000.0,27.473806381225586,WHR
1994-06-01,55.625,53.5,53.875,54.75,298200.0,28.05018424987793,WHR
1994-06-02,55.25,54.5,54.625,55.0,185800.0,28.17825698852539,WHR
1994-06-03,54.875,54.625,54.75,54.875,186700.0,28.114225387573242,WHR
1994-06-06,56.125,55.25,55.375,55.875,148200.0,28.62654685974121,WHR
1994-06-07,57.0,55.875,55.875,56.125,243500.0,28.754621505737305,WHR
1994-06-08,55.75,54.5,55.75,55.25,95400.0,28.306333541870117,WHR
1994-06-09,55.875,54.5,55.25,55.25,73200.0,28.306333541870117,WHR
1994-06-10,56.5,55.125,55.5,56.0,130600.0,28.69059944152832,WHR
1994-06-13,55.875,54.75,55.875,55.5,52000.0,28.434429168701172,WHR
1994-06-14,57.0,55.5,55.5,56.875,162900.0,29.138887405395508,WHR
1994-06-15,58.125,57.0,57.25,58.125,203000.0,29.7793025970459,WHR
1994-06-16,58.5,57.25,58.125,57.25,202600.0,29.330995559692383,WHR
1994-06-17,57.25,55.5,57.25,56.0,303600.0,28.69059944152832,WHR
1994-06-20,57.0,55.875,55.875,55.875,164200.0,28.62654685974121,WHR
1994-06-21,56.0,54.75,56.0,55.0,211500.0,28.17825698852539,WHR
1994-06-22,55.5,54.875,55.25,55.25,137300.0,28.306333541870117,WHR
1994-06-23,56.5,55.75,56.0,56.125,196000.0,28.754621505737305,WHR
1994-06-24,55.875,54.875,55.875,55.0,240800.0,28.17825698852539,WHR
1994-06-27,55.375,54.5,54.875,54.875,259400.0,28.114225387573242,WHR
1994-06-28,55.125,53.75,54.75,53.75,297800.0,27.5378475189209,WHR
