Date,Open,High,Low,Close,Adj Close,Volume
1994-01-03,4.726563,4.828125,4.679688,4.828125,3.947181,3267200
1994-01-04,4.804688,4.804688,4.695313,4.695313,3.838603,3712000
1994-01-05,4.710938,4.742188,4.687500,4.726563,3.864151,5630400
1994-01-06,4.742188,4.773438,4.726563,4.757813,3.889699,2419200
1994-01-07,4.812500,4.828125,4.789063,4.820313,3.940795,5720000
1994-01-10,4.820313,4.890625,4.812500,4.828125,3.947181,2857600
1994-01-11,4.789063,4.898438,4.789063,4.843750,3.959957,3156800
1994-01-12,4.890625,4.890625,4.843750,4.875000,3.985504,1425600
1994-01-13,4.875000,4.914063,4.851563,4.906250,4.011052,2427200
1994-01-14,4.921875,5.039063,4.921875,5.015625,4.100471,5100800
1994-01-17,5.000000,5.203125,5.000000,5.171875,4.228210,6545600
1994-01-18,5.179688,5.187500,5.101563,5.171875,4.228210,4387200
1994-01-19,5.187500,5.250000,5.164063,5.179688,4.234596,8185600
1994-01-20,5.234375,5.242188,5.156250,5.226563,4.272920,5633600
1994-01-21,5.234375,5.234375,5.148438,5.210938,4.260146,2873600
1994-01-24,5.218750,5.226563,5.117188,5.125000,4.189888,2724800
1994-01-25,5.125000,5.125000,5.015625,5.046875,4.126020,6000000
1994-01-26,5.062500,5.210938,5.062500,5.203125,4.253759,5364800
1994-01-27,5.210938,5.343750,5.179688,5.312500,4.343178,7232000
1994-01-28,5.351563,5.351563,5.289063,5.312500,4.343178,4104000
1994-01-31,5.328125,5.406250,5.304688,5.343750,4.368726,6400000
1994-02-01,5.343750,5.398438,5.328125,5.398438,4.413435,4220800
1994-02-02,5.390625,5.453125,5.359375,5.406250,4.419821,3982400
1994-02-03,5.390625,5.406250,5.312500,5.375000,4.394274,4057600
1994-02-04,5.375000,5.398438,5.234375,5.257813,4.298467,3699200
1994-02-07,5.234375,5.234375,5.156250,5.210938,4.260146,5988800
1994-02-08,5.187500,5.195313,5.109375,5.117188,4.183502,2718400
1994-02-09,5.132813,5.257813,5.046875,5.226563,4.272920,5681600
1994-02-10,5.242188,5.335938,5.242188,5.296875,4.330403,6800000
1994-02-11,5.296875,5.359375,5.289063,5.312500,4.343178,5179200
1994-02-14,5.343750,5.375000,5.296875,5.351563,4.375113,5857600
1994-02-15,5.375000,5.398438,5.296875,5.312500,4.343178,5355200
1994-02-16,5.312500,5.359375,5.265625,5.343750,4.368726,11875200
