DATE, value
1/4/94,3.25
1/5/94,3.25
1/6/94,3.25
1/7/94,3.1875
1/10/94,3.125
1/11/94,3.125
1/12/94,3.125
1/13/94,3.125
1/14/94,3.125
1/17/94,3.125
1/18/94,3.125
1/19/94,3.125
1/20/94,3.125
1/21/94,3.125
1/24/94,3.125
1/25/94,3.125
1/26/94,3.125
1/27/94,3.125
1/28/94,3.125
1/31/94,3.125
2/1/94,3.125
2/2/94,3.1875
2/3/94,3.1875
2/4/94,3.25
2/7/94,3.375
2/8/94,3.375
2/9/94,3.375
2/10/94,3.375
2/11/94,3.375
2/14/94,3.375
2/15/94,3.4375
2/16/94,3.4375
2/17/94,3.4375
2/18/94,3.4375
2/21/94,3.4375
2/22/94,3.4375
2/23/94,3.4375
2/24/94,3.5
2/25/94,3.57813
2/28/94,3.5625
3/1/94,3.5625
3/2/94,3.625
3/3/94,3.5625
3/4/94,3.625
3/7/94,3.625
3/8/94,3.625
3/9/94,3.625
3/10/94,3.5625
3/11/94,3.57813
3/14/94,3.5625
3/15/94,3.5625
3/16/94,3.5625
3/17/94,3.5625
3/18/94,3.5625
3/21/94,3.625
3/22/94,3.70313
3/23/94,3.6875
3/24/94,3.6875
3/25/94,3.6875
3/28/94,3.6875
3/29/94,3.6875
3/30/94,3.6875
3/31/94,3.6875
4/5/94,3.82031
4/6/94,3.75
4/7/94,3.75
4/8/94,3.75
4/11/94,3.75
4/12/94,3.75
4/13/94,3.75
4/14/94,3.75
4/15/94,3.75
4/18/94,3.75
4/19/94,3.9375
4/20/94,3.9375
4/21/94,3.9375
4/22/94,3.89844
4/25/94,3.875
4/26/94,3.92188
4/27/94,3.9375
4/28/94,3.9375
4/29/94,4
5/3/94,4.0625
5/4/94,4.0625
5/5/94,4.125
5/6/94,4.1875
5/9/94,4.4375
5/10/94,4.5
5/11/94,4.4375
5/12/94,4.4375
5/13/94,4.4375
5/16/94,4.375
5/17/94,4.375
5/18/94,4.375
5/19/94,4.375
5/20/94,4.3125
5/23/94,4.3125
5/24/94,4.375
5/25/94,4.375
5/26/94,4.375
5/27/94,4.375
5/31/94,4.375
6/1/94,4.375
6/2/94,4.375
6/3/94,4.375
6/6/94,4.3125
6/7/94,4.3125
6/8/94,4.3125
6/9/94,4.3125
6/10/94,4.3125
6/13/94,4.3125
6/14/94,4.375
6/15/94,4.3125
6/16/94,4.3125
