Date,GDPC1,LN Change
1999-10-01,12877.593,
2000-01-01,12924.179,0.003611074
2000-04-01,13160.842,0.018146008
2000-07-01,13178.419,0.001334662
2000-10-01,13260.506,0.006209577
2001-01-01,13222.690,-0.002855851
2001-04-01,13299.984,0.005828539
2001-07-01,13244.784,-0.004159018
2001-10-01,13280.859,0.002720011
2002-01-01,13397.002,0.008707125
2002-04-01,13478.152,0.006039054
2002-07-01,13538.072,0.00443586
2002-10-01,13559.032,0.001547029
2003-01-01,13634.253,0.005532336
2003-04-01,13751.543,0.008565807
2003-07-01,13985.073,0.016839511
2003-10-01,14145.645,0.011416256
2004-01-01,14221.147,0.005323279
2004-04-01,14329.523,0.007591872
2004-07-01,14464.984,0.009408878
2004-10-01,14609.876,0.009966906
2005-01-01,14771.602,0.011008815
2005-04-01,14839.782,0.004604994
2005-07-01,14972.054,0.008873849
2005-10-01,15066.597,0.006294777
2006-01-01,15267.026,0.013215165
2006-04-01,15302.705,0.002334271
2006-07-01,15326.368,0.001545134
2006-10-01,15456.928,0.008482573
2007-01-01,15493.328,0.002352163
2007-04-01,15582.085,0.005712377
2007-07-01,15666.738,0.005418009
2007-10-01,15761.967,0.00606002
2008-01-01,15671.383,-0.005763576
2008-04-01,15752.308,0.005150584
2008-07-01,15667.032,-0.005428262
2008-10-01,15328.027,-0.021875649
2009-01-01,15155.940,-0.011290448
2009-04-01,15134.117,-0.001440935
2009-07-01,15189.222,0.003634498
2009-10-01,15356.058,0.010923957
2010-01-01,15415.145,0.003840414
2010-04-01,15557.277,0.009178036
2010-07-01,15671.967,0.007345072
2010-10-01,15750.625,0.005006472
2011-01-01,15712.754,-0.002407308
2011-04-01,15825.096,0.007124295
2011-07-01,15820.700,-0.000277825
2011-10-01,16004.107,0.011526168
2012-01-01,16129.418,0.007799433
2012-04-01,16198.807,0.004292788
2012-07-01,16220.667,0.001348572
2012-10-01,16239.138,0.001138085
2013-01-01,16382.964,0.00881776
2013-04-01,16403.180,0.001233204
2013-07-01,16531.685,0.007803624
2013-10-01,16663.649,0.007950798
2014-01-01,16616.540,-0.002831056
2014-04-01,16841.475,0.013446009
2014-07-01,17047.098,0.01213539
2014-10-01,17143.038,0.00561216
